#en_reviews,upvoted,early_access
"Great story, First single player game I've been able to get into since Witcher 3, controls are little bit clunky to get used to at first but after a few hours you get used to them. There are countless bugs which stopped me progressing in the story, which I hope they fix soon for future players! I'd recommend maybe waiting for bugs to be fixed or a sale!",True,False
"Wow, just like I expected I just really love RhinoGearz Visual Novels. The writing, story telling and just in general how he likes to form romance stories and relationships just really fits with my own personal likings. You play a young guy entering a magic academy and finding the love of your life in it. The relationship development is really nice and I also really enjoyed the overall story apart from the romance itself. Considering that you also get around 4 hours of story and that it is only 2 euro, I will never understand why his games dont take off more. For this price you wont find anything better on steam when it comes to romance VNs and just overall positive story telling.  If you are looking for a positive and very relaxing read then highly recommended. There is no r18 content though so if you are looking for that you might want to look elsewhere. If you care about story though and not just visuals then its really great. Apart from that the art itself is also pretty good and really if you consider the price you cant expect anything more from this VN. 9/10 Check out my Curator Page:",True,False
5/5 ★★★★★ rating - SO beautiful Illustrations from this artist.  - Puzzles can be played in various difficulties.  - For achievement hunters: Each Puzzle gives you 1 achievement.,True,False
Why are we still here... Just to suffer?,True,False
"Werry nice game and remembering old good stronghold times. :) But here need to long wait when all building, researching and moving army, scouts... :( But good game! :) I hate just werry boring waiting here! :( With that waitings no more I wanna to play this game. Maybe i quit it faster than I thinked... :(",True,False
Go! Go! Jewish! ~My First Trip to Israel~,True,False
hard game but still op love this game,True,False
Imagine being a RS3 player when OSRS exists.,True,False
You King You Win.,True,False
this is the best game so far,True,False
Just played this for the first time and oh my god it does not disappoint.  story is superb.  game is brilliant.  controls a little clunky however.   absolute 9.9/10 though,True,False
Fun game but only really fun with a team mate or friend thats just how I played it with my friend and when he didnt play with me I ad no interest,True,False
fun time managment game. but seriously though was it necessary to put 5 of this title out? ..lol,True,False
Best game ever made lots of fun and heartstopping moments,True,False
"The thought process of this game >This game is fun >I want to play competitive >I'm in silver >Thats cool, I can get better >Oh im nova now! >Im Mg now >This isnt as fun >Dmg >This isnt fun >Le >Why am I playing >Supreme >I cant stop >Global >End my suffering >Esea >Why >Esea Tournaments >Why >Competitions >Stop >Majors >END ME",True,False
Nice background game for passing time.,True,False
☼ Graphics ☼ ☐ Bad ☐ Alright ☐ Good ☑ Beautiful ☐ Fantastic ♬ Music ♬ ☐ Bad ☐ Alright ☐ Good ☑ Beautiful ☐ Fantastic ☠ Difficulty ☠ ☑ Easy ☐ Average ☐ Easy to learn / Hard to master ☐ Hard ☐ Unfair § Bugs § ☐ Bugs destroy the game ☐ Lots of bugs ☐ Few Bugs ☐ You can use them for speedrun ☑ Nothing encountered ☯ Story ☯ ☐ There is none ☐ Bad ☑ Alright ☐ Good ☐ Fantastic ⚔ Gameplay ⚔ ☐ Frustrating ☐ Sleepy ☐ Boring ☑ Fun ☐ Challenging ۞ Game time / Length ۞ ☐ Really short (0 - 3 hours) ☐ Short (4 - 8 hours) ☑ Few hours (10 - 20 hours) [if you focus on the main story] ☑ Long (40-60 hours) [if you complete everything] ☐ Very Long (61-100 hours) ☐ Extremely Long (101+ hours) $ Price / Quality $ ☑ Full price ☐ Wait for Sale ☐ Don't buy ☐ Refund it if you can,True,False
hey hey hey do not ruen my games,True,False
it's crazy lol,True,False
"É um jogo muito bom, pra mim é focado mais em construção das navis, tanks e edificaçoes. A unica coisa que achei ruim é q nao tem coop, podiam criar uma campanha coop onde cada player criava sua navi. It is a very good game, for me it is focused more on the construction of navis, tanks and buildings. The only thing I found bad is that there is no coop, they could create a coop campaign where each player created their own",True,True
I recommend this.  :),True,False
top qame is real,True,False
The Best Sandbox game have I ever played! :D,True,False
"Great Game, Good Gameplay, A Few Glitches Here And There, But Overall A Wonderful Game",True,False
Haven't play this game for an hour and already seeing a  Really recommend it!!! 17/10,True,False
I love this game and there isn't much else to say!!!,True,False
me very trained soldier now me ready war yes plez spetsnaz me want join y'oure army plez,True,False
Shoot some guardians... Yes? Its kill or be killed,True,False
"Town always stupid, I'M THE F****** SHERIFF!",True,False
this game is $$$$$$$,True,True
"Where to start with this game... From perfect soundtrack to interesting ""choice matter"" situations, the game brings a phenominal story which has a great twist, characters which you can easily get attached to and actually feel something for them and finally my favourite, really memorable gameplay which will make you think of the game for quite a bit. The game brings really unique graphics style which is eye-pleasing. There is a lot of things to pick on this game and it's definently worth checking out if you're in deep story games like I'm.",True,False
"pretty boring at times, but it's actually pretty fun!",True,False
"I played this game with a friend and honestly, its a blast! Being infected is really fun as well as being non-infected. There is usually great teamwork between players and people are usually pretty chill (in my experience). There are skins that you can obtain for free which look nice. If you want to win, it is necessary to use good teamwork and this is what I like about the game. Lastly, I just love the animation where you transform into your 'beast form', its really cool xP There are some graphical errors I have found.  ex. If you go to the steam overlay and back into the game, your mouse cursor does not disappear and is just on the screen when you are in the first person perspective playing the game.",True,False
*walks into cave* *uses lighter* *sees Nakid Cannibal* *screams* 11/10 will sit on the toilet for 8 hours again.,True,True
I really like the game,True,False
well if you already know what taimanin saga is no need to warn  if not well be prepared to sink in lust of body suit girl with big milkers ... i'm neutral for this game i dont think its good or bad since its free  just try it and get u'r own opinion  ahh and obviously its a 18+ game trust me kids its not smth u wanna discover soon,True,False
awesome lovely game i recomended.....,True,False
I guess it's okay.,True,False
Really Good Game,True,False
Nice shooter game.,True,False
"Not bad, cool missions and new concepts. Missing something normal civ games have but a decent game worth a couple of play throughs",True,False
awesome game. awesome soundtrack. pog game,True,False
"I'll start by saying I generally don't play hidden object games, the sheer number of them in the market and the fact that so many of them seem to look the same always made me feel like I wouldn't enjoy them.  I was convinced to play this one, though, and I'll admit that I was pleasantly surprised.  None of the puzzles or challenges were too difficult, but even so, there was enough variety that it kept me entertained through to the end (though I did miss the 4 hour time limit for the achievement by about 15 minutes, which meant I had to play through a second time). The only issue I had was during nearly every puzzle, I found myself backing out of them by clicking too close to the bottom of the screen for one reason or another, which did get annoying after a while.  Even after playing the game for hours I didn't seem to be getting any better when it came to this, maybe something like a back arrow somewhere on the screen as an alternative to clicking on the bottom portion to backtrack could help with that.  This is a pretty small complaint though, and most likely something that most people don't have any problems with.",True,False
"Finished the game,  if you're a Korra fan  if you're not. + Combat is fun it's your basic 'Beat'em Up' + Concepts are interesting & lets you try different things than just montonous combat + Lots of secrets to find if you're into that kind of thing + Skill shop so fighting is completely repetitive + Story is interesting enough to intice the Korra fans to keep playing + Cutscenes are cool and fully animated + Pro.Bending. - There's only like a total of 10 models in this game - Little to nill replayability - Combat is a little choppy at times (not exactly fluid & smooth) - Can't fluently change from one bending to another unless in avatar state It's worth the 15 bucks if you like the Legend of Korra series & you've followed up for the last 2 seasons. So the combat is fun & simplistic, you just beat people to a pulp and move to the next segment. They make it feel really good to counter and throw back punches. Naga running segments is essentially like a runner-mode where you slip and slide through obstacles to get to the next segment, and though it's fun it feels a bit contrived. However, the enemies get stale after awhile there's like 10 models and 3 different palette swaps for each one. However, I do keep in mind that kind of budget the developers were probably working with and can empathize the constriction on the lack of diverse enemies/help from an AI. For a license game The Legend of Korra does alright to stand on its own considering the game is only 15 bucks, but most likely confusing to those who haven't seen the show. *****WARNING: SPOILERS/SECRET CODES BEYOND THIS POINT****** In case you do buy the game I've got some goodies: (note I'm using generic commands since everyone's layout is different)",True,False
7.23 TOTALLY BALANCES THE GAME 20/10 would play <3,True,False
"This game is superb, IF you can pick it up on sale with all the episodes. No doubt the gameplay is really polished and refined, but for most people, you're going to need all of the expansions to have fun for more than 10 hours. However, the design is fantastic and there are numerous ways that you can creatively dispatch targets. Definitely recommended.",True,False
One of my absolute favorite games on Steam.. it's cheap and has an amazingly simple yet brilliant concept that is executed perfectly for the games price.. a must have for the music enthusiast who likes to feel the music but keep his mind busy and visualized on the core of the music.,True,False
This game bring back my memories from playing Harvest Moon: Back To Nature ten years ago. <3,True,False
"Imagine a story flipbook that you may have seen as a kid told was turn into a digital interactive form. And that the story told was a dark, macarbe one.  2017 was ones of the strongest years in gaming, and even among the list of amazing games, this is among the top ones. The ways with which interactions was used to tale the stories of the Edith Family was brilliant, and the tale themselves were really good. There's one sequence that can easily go down in one of the best moments in digital storytelling, but I won't spoil it. I'll get anything that Annapurna publishes. They are among the top tier publishers.",True,False
"It was a very nice journey but so short , I hope i can find a similar game like Far lone sails <3",True,False
the best game in the world,True,False
"I had great time playing this game. Shooting enemies was fun, story was interesting to follow and the game looks beautiful! If I had to find cons, there was some little bugs, e.g Elizabeth throwing salt/ammo/coin through wall. Also, I got stuck few times, whenever it was Elizabeth blocking the door and not moving, or me doing parkour-thingies and somehow managing to get stuck in a small gap, it was a bit annoying to load from the last checkpoint.  But those weren't game breaking at all, so it's all good if a great game has a small bugs like that!  Awesome game, would  totally recommend at least trying it if you like FPS games with great graphics and story.",True,False
The Witcher - ok The Witcher 2 - epic,True,False
A very good game.,True,False
"i love the game, i got six hours in by now, i discovered ""gentle mans"" mode, this makes it amazingly extra difficult i love it",True,False
its nice,True,False
10/10 got abducted by aliens and smoked weed,True,False
"Game is amazing worth buying it if you love space battles, colonizing planets and micromanaging your economy this is your game Game early is slow but once you got your economy running you gonna move faster and expand how you like where you like(depending on your army too)",True,False
"If you enjoy JRPGs this is the perfect choice: the mixture between Job System Level and Characters Level is really huge and the Story (as in most of the titles of this Saga) is gorgeous. Nobuo Uematsu, as always, showed majestically his talent as composer.",True,False
GTA V Is a very good game but sometimes Moderators will always try to kill you With the mods.But for the most part GTA V Is a very good game.(:,True,False
I deleted it to make extra space on my old comeputer (it also was a terrible laptop so it wouldn't run wll) but this game and especially the sequal are AMAZING this game is deffinatly going down in gaming history as an all around great game.,True,False
This game was once good but the developers have ♥♥♥♥♥♥ it bad,True,False
"GG, walking simulator with an interesting story",True,False
2018 crush <3,True,False
"One of my top 5 most played games in my steam library! The sounds, the scenery, the players and the different maps make this game really well-made. There are many opportunities that you can make so even after long hours it won't be boring unlike other games, because you can play as Squad Lead, Infantry, Tank operator, Scout, Pilot or simply Support (logistics and/or super FOB-ing with TOWs and mortars). Not to mention the multiple factions with their own weapons, vehicles, tools and buildings respectively. If you wanted to compare with other games, I would say a really realistic game as Escape from Tarkov (no hitmarks), open-world with vehicles as Arma 3, respawn system and customization as in Red Orchestra and Rising Storm series, but if you just want to kill everyone because you are used to the fast paced CoD series, then this game is not for you: a map can take up to 1,5 hours! Regular updates with the feedback of players are always released by the helpful devs! And one more thing: the game isn't dead, the servers are mostly full. So don't worry, it's not Battalion 1944.",True,True
This is not a game. This is art. 10/10,True,False
a great classic. one of the fun battlefront games to ever play never got tired of it.,True,False
Great game. 1k+ Hours. Hard to learn. Impossible to truly master. So many possibilities and variables. Teamwork crucial. Time consuming (games can be 40-70 mins long). Watch is great too. Personally Am trying my best to play a lot less because of life responsibilities. Suggest watching rather than playing if you are time poor. Some players can be toxic (ie. Rude or angry). Suggest muting them for an enjoyable experience ;),True,False
"This game looks amazing, the mud physics and the water physics are amazing. I fully recommend this game (if you like realistic driving simulators).",True,False
10/10 Kickin' ass while watchin' ass.,True,True
"I really enjoy Telltale games so I'm always on the lookout for similar games and The Descendant is about as close as it gets, albeit less refined. The voice work was a little rough in parts, ranging from serviceable to good depending on the character and the visuals while nothing special did the job, they went for the cel shaded look ala The Walking Dead and co. Gameplay was what you'd expect, walk around finding clues, press the correct button at the correct time and select whichever story choice you prefer. Now for the bad though, it's technically not great (is this genre cursed?), it's a Unity engine game that's capped at 30fps, you have to edit the registry to fix this which is easy enough to do but you'll notice straight away the game is optimised for 30fps, even on medium settings I couldn't hit 60fps in all situations (although to be fair, I did most of the time). So my advice would be to uncap and switch to medium settings unless you're using something better than a GTX 970, there's high and very settings above medium for those of you rocking big boy GPUs.",True,False
"Its a very cute, minimalist adventure games. Chill, short, no pressure. Easily finished in one sitting.",True,False
Most fun I've had in a game in a long time.,True,True
Gungeons = Dangeons + guns Dangens = Monsters + loot Dangeon /=/ without Adventurer Dangeons + Adventurer = Hentai Question: Where is my hentai?!?!?!?7!,True,False
"Ive been playing this game for about 750 hours and i still cant put it down. It is hard to pick up, but when you do it is worth it!",True,False
Good Game Good Skins Good Players :),True,False
Great game for `90 years,True,False
i just love this game and thats all :D,True,False
Nice game!,True,False
great game,True,False
I liked Everying in this game...,True,False
you can run over your friend with a tank 10/10,True,True
this game is going to be greattttttttttttttttttt,True,True
atmospheric af - get it,True,False
"Amazing game, great climax and very interesting.",True,False
Has black player models lol,True,True
"When Lego and Minecraft met, this was their reaction",True,True
"A true gem for the Star Wars saga. The story of Cal Kestis is excellently delivered as themes of pain, guilt, regret and fear are explored. A likeable cast of characters accompany the protagonist on his epic journey across the Star Wars galaxy, from more well known planets like Kasshyyk, the home of the Wookies, to Dathomir, the shrouded home of Darth Maul, Savage Opress and Asajj Ventress as featured in The Clone Wars and Rebels. The Inquisitors are excellent antagonists for this story as well as the beautiful musical score, reminiscent of John Williams iconic pieces for the movies. Building Cal's skills throughout the game is immensely satisfying as you become a true Jedi. A fantastic action adventure game.",True,False
The best city-builder game !!!,True,False
It's ♥♥♥♥♥♥♥ Skyrim who wouldn't love Skyrim.,True,False
"Good friends tell friends waiting or thinking about playing Shenmue 3 to experience the Yakuza series instead if they haven't already.  GTA SEGA style, legendary. ヽ༼ຈل͜ຈ༽ﾉ",True,False
"This is the first time I think a game has hooked me so much. Getting this game about 4 days ago, and putting almost 10 hours a day into it, is a worrying amount, but the game just hooks you. It all comes down to some basic aspects that make this game so good, from a gameplay standpoint: The movement and the weapons. The movement is pretty simple, you run around as you might expect, but the dash is really what makes it. Its far enough to get some distance and dodge if you need to, but is also great for when you want to jump around enemies to backstab them, or fighting multiple enemies, jumping from one to another as you see fit. The movement is simple enough for anyone to use, but also allows people with fast hands to really take advantage of some of the games mechanics. The movement puts you in a position where you can be almost perfectly in control of how much damage you take. I think that it has hit a very nice balance. The combat is in a word, satisfying. With a number of different weapons, and a number of different play styles available for each, it really opens the game out with what you can do. The boons and upgrades that you get can also be attributed for this, giving different bonuses, which can compound certain playstyles, or make you switch up your build a little bit for something more fun. The point is, there are loads of different options for you to choose from. Most of the weapons specials, are slower and higher damaging attacks, and when you get that killing blow with them, it does feel good to do so. I think that's what makes the combat so good and keeps me playing so much. *POTENTIAL SPOILERS BELOW* Outside of the gameplay, the story and mini-stories had me wanting to keep playing too, due to the way in which it is revealed to you. Throughout the game, you find out more about Zagreus' mother, what happened between her and Hades, and the change of characters thoughts and attitudes. However there are tons of other character interactions throughout the game that you can take part in, from simply chatting with people in the House or those within the different areas of the Underworld, and being able to give gifts to those same characters in return for some goodies for you to use. Not only are these interactions fun and interesting to do, to find out more about these characters, and how they interact with the others around them.  I think the revealing nature of the story, really kept me motivated to keep playing, as I really wanted to reach the end, beat Hades and see Persephone again, to keep learning more about what happened. *END OF SPOILERS* Overall, I am more than pleased with the story(ies) and its execution. It's great that you can get as invested into them as you like through your choices of who to talk to and who to care about. I have only reached the end of the main story so far, but I am very satisfied with it. I thoroughly enjoyed it. I think that this is a game that many people will enjoy, even those who, like me, was never really into rogue-likes at all. I would definitely recommend to everyone.",True,False
Surprisingly good post-apocalyptic fantasy game.,True,False
Love it <3,True,False
"This game really puts into perspective what it would feel like if you were in the middle of defusing a bomb and the bomb expert goes, ""uhhh...""",True,False
It's good. You get to smashy smashy with big weapons and pick up shiny stuff off the ground before more smashy smashy. Rinse and repeat.  There's a story in there somewhere too but I wasn't paying attention.,True,False
10/10 would play this video game again,True,False
"An excellent game with a unique and entertaining combat system, wonderful art design and a motif built from a diverse array of myths and cultures. However the game isn't perfect, I've had my fare share of crashes (ALWAYS SAVE BEFORE ALT-TABBING!) and there are a few boss fights where it feels like the game isn't being fair or clear on what it wants me to do. Also there are a few characters that feel (to me at least) like duds, but in a roster of 20+ characters they cant all be winners and with so many options I'm sure anyone can find at least 2 they like enough to stick with to the end. Not much to say about the plot, its nothing groundbreaking just mostly good, but with compelling characters. As a whole I do recommend the game but you should probably wait for a sale.",True,False
"Honestly one of the coolest shooters i’ve ever played. But wait for it to go on sale, or if it’s dropped from the bundle. I don’t care about the sequels, but this game alone makes it worth it. Just don’t overspend.",True,False
"Game reminded me off Monkey Island. Story is a lot of fun and you play with several characters. €17,99 well spent. This review isn't really helpful, but just showing some love to the developers. [Voted 'The Game of the Year Award' for Steam Awards 2019 good luck devs you deserve it]",True,False
"I got this game for 50 euros or so, i preordered it, and I think it's worth of it. Main story is made to be played in about 15 hours or so. The game has some bugs, but not much. Now let's talk about ratings. 1. Graphics Graphics are incredible, a lot of details, great looking cut scenes, enemies have a lot of details, even on lower spec computers. I have mid-high tier computer, and i could play game on 40fps on some great medium settings. 2. Gameplay (combat, jumping, side task, main missions, RPG stuff...) Combat is the most important thing in this game and it's soo ♥♥♥♥*** great, i could even say incredible. Yes it has a small number of bugs but these bugs are irellevant and I passed game without any problems. I saw some bugs in dodging, i mean, sometimes i click dodge button, in my case its CTRL and usually it works, i mean almost always works, maybe it won't work in 1/50 times so it's doesn't matter. Second most important gameplay feature is parkour or jumping, in this game it has a lot of jumping, flying enemies so you have to jump to hit them etc... The parkour is most important in last mission with cap America and it's done great. Sometimes I had problems with Caps wall running but with newer patches it was fixed. Parkour mehanics are simple, with cap you have wall-running, with Miss Marvel and Black Widow you have some kinda hands/grapple hooks that you throw on the ground or tree/pipe... Hulk has simple jumping. Thor and Ironman don't have any parkour mehanics, simple jumping with flying. Side task and main missions are important in every game, same as in Marvel's Avengers, so let's begin. First mission is tutorial and it is showing how to play with every single hero. Personally i like these type of level design, looks like design from God of War (2018). If you have to jump on something or destroy it, it has some kind of a mark, white stripes, red colour on it... When you use tactical awareness, it shows you current objectives and some kind of a soul that shows where you should go. Missions are usually of same kind. Go destroy more enemies, stay in some circle and let Jarvis (your supercomputer) to hack doors, go to elevator destroy some enemies, stop reactor or hack communication or take over defence... There are 2 ways of doing that, capturing zones and guarding them from AIM destroying some kind of generators and stop reactor/engine... RPG stuff is a great part of the game, level rising, gears, gear upgrading, artefacts, skill points... It reminds me of an Assasin's Creed game. There's not much to say it's good, noob friendly and simple. 3. Story I love it. It's good kinda story, i liked it, and enjoyed it. The only thing that i didn't like is introducing new Avenger Khamala Khan (Miss Marvel) but on the other side of the coin, story is very good and enjoyable. I won't spoil it but i recommend to finish the main story, it remains one BIG cliffhanger. There are a lot of cut scenes, with my free guess about a 45 minutes of cut scenes and so. Really enjoyable story. 4. Conclusion If you have 45+ euros to give for game, I would reccomend you to buy it, but you will need a good computer (a lot better than minimum specs). I had 2 PCs, one was with minimum specs other one was with a recommended specs, game runned very badly on the min spec PC but on the one with  a reccommended, runned very well. The game is great and if you are Marvel fan buy it, you won't regret it. If you wanna play multyplayer fell free to add me.",True,False
"Murdered Soul Suspect is a unique adventure game in which you play as the ghost of former hard nosed detective Ronan O'Connor. Within minutes of being murdered, you're tasked to find your hooded killer before you can can move on to the bright light in the sky.",True,False
"Playway has really done a great job with this one. I enjoyed CMS2014 but they managed to build on that and improve it in almost every way. And all with Kickstarter and a low pledge goal. As the name implies you run an auto shop repair business. But new and improved for 2015 are the cars have many more parts now and the repairs are a good deal more involved. You also earn XP now as you work and complete jobs which can be used to unlock more advanced diagnostic tools like the test path, OBD scanner, compression tester etc and other repair abilities.  There is also an unlockable paint shop now as well so you can do body and paint work and an auction house where you can buy junk cars for parts or fix them up and sell them for profit. Once you earn enough to get the extra parking lot, you can store your cars for service or just collect them. Customers call in on the phone with jobs you can take or decline. An all new better organized parts shop and tablet access eliminates running back and forth to the computer to buy parts. Test driving the vehicle now and using your diagnostic tools generates a parts list condition report for certain systems saving you time poking around and disassembling the vehicle looking for bad parts. All in all there's quite a bit to do and highly recommended if you like puzzle games, working on cars, or are a simulator fan.",True,False
Simple and clean. fix your anticheat doe :),True,False
yuri's still the best knaifu,True,False
Lovely game but sometimes game is really cheatin ..,True,False
I ♥♥♥♥♥♥♥ SUCK AT THIS GAME,True,False
"Portal 2 is one of then best PC/Mac games I have ever played, Itresting storyline and amazing plot twists, brillent levels. I definatly recimmend this game.",True,False
"Buy the game, go to the Druid Grove, reach the overhang near the said grove, quicksave. Then talk to the tiefling, and listen to Weeping Dawn. I promise that you will be sold.",True,True
Strongly the release date,True,False
"A bit entertaining, cheap with cards. Why not?",True,False
